current_parent_name,pen_total,num_recs,rank,ownership,curr_ticker,curr_cik,curr_ISIN,hq_country,hq_state,industry,major_industry,viol_parent_url,sub_parent_url
Lowe's,113733795,181,427,publicly traded,LOW,60667,US5486611073,USA,North Carolina,retail-home improvement,retailing,https://violationtracker.goodjobsfirst.org/parent/lowes,https://subsidytracker.goodjobsfirst.org/parent/lowes
LPL Financial,113654510,47,428,publicly traded,LPLA,1397911,US50212V1008,USA,California,investment advisory services,financial services,https://violationtracker.goodjobsfirst.org/parent/lpl-financial,https://subsidytracker.goodjobsfirst.org/parent/lpl-financial
LSB Industries,1665759,38,1847,publicly traded,LXU,60714,US5021601043,USA,Oklahoma,chemicals,chemicals,https://violationtracker.goodjobsfirst.org/parent/lsb-industries,https://subsidytracker.goodjobsfirst.org/parent/lsb-industries
LSI industries,27815,3,3010,publicly traded,LYTS,763532,US50216C1080,USA,Ohio,lighting products,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/lsi-industries,https://subsidytracker.goodjobsfirst.org/parent/lsi-industries
LT Corp.,3910600,3,1517,privately held,,,,USA,Mississippi,propane tank manufacturing,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/lt-corp,
Luby's Inc.,647087,5,2220,privately held,,,,USA,Texas,restaurants,restaurants and foodservice,https://violationtracker.goodjobsfirst.org/parent/lubys-inc,https://subsidytracker.goodjobsfirst.org/parent/lubys-inc
Lufthansa,135166252,42,387,publicly traded,,,DE0008232125,Germany,,airlines,airlines,https://violationtracker.goodjobsfirst.org/parent/lufthansa,https://subsidytracker.goodjobsfirst.org/parent/lufthansa
Lukoil,587922,9,2259,publicly traded,,,RU0009024277,Russia,,oil & gas,oil and gas,https://violationtracker.goodjobsfirst.org/parent/lukoil,https://subsidytracker.goodjobsfirst.org/parent/lukoil
Lululemon Athletica,950000,2,2061,publicly traded,LULU,1397187,US5500211090,Canada,,apparel,apparel,https://violationtracker.goodjobsfirst.org/parent/lululemon-athletica,https://subsidytracker.goodjobsfirst.org/parent/lululemon-athletica
Lumen Technologies,487920384,98,188,publicly traded,LUMN,18926,US5502411037,USA,Louisiana,telecommunications,telecommunications,https://violationtracker.goodjobsfirst.org/parent/lumen-technologies,https://subsidytracker.goodjobsfirst.org/parent/lumen-technologies
Luminis Health,3227000,4,1591,non-profit,,,,USA,Maryland,healthcare services,healthcare services,https://violationtracker.goodjobsfirst.org/parent/luminis-health,
Lundbeck,52600000,1,623,publicly traded,,,DK0010287234,Denmark,,pharmaceuticals,pharmaceuticals,https://violationtracker.goodjobsfirst.org/parent/lundbeck,https://subsidytracker.goodjobsfirst.org/parent/lundbeck
Luxfer Holdings,151531,8,2692,publicly traded,NYSE: LXFR,,GB00BNK03D49,United Kingdom,,industrial equipment,industrial equipment,https://violationtracker.goodjobsfirst.org/parent/luxfer-holdings,https://subsidytracker.goodjobsfirst.org/parent/luxfer-holdings
LVMH,10305830,12,1162,publicly traded,,,FR0000121014,France,,luxury goods,apparel,https://violationtracker.goodjobsfirst.org/parent/lvmh,https://subsidytracker.goodjobsfirst.org/parent/lvmh
Lydall,13300,1,3097,publicly traded,LDL,60977,US5508191062,USA,Connecticut,filtration products,industrial equipment,https://violationtracker.goodjobsfirst.org/parent/lydall,https://subsidytracker.goodjobsfirst.org/parent/lydall
Lyft Inc.,29540000,5,774,privately held,,,,USA,California,transportation services,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/lyft-inc,https://subsidytracker.goodjobsfirst.org/parent/lyft-inc
LyondellBasell Industries,368758762,246,214,publicly traded,LYB,1489393,NL0009434992,Netherlands,,chemicals,chemicals,https://violationtracker.goodjobsfirst.org/parent/lyondellbasell-industries,https://subsidytracker.goodjobsfirst.org/parent/lyondellbasell-industries
M&T Bank,249564250,18,273,publicly traded,MTB,36270,US55261F1049,USA,New York,banking,financial services,https://violationtracker.goodjobsfirst.org/parent/m-and-t-bank,https://subsidytracker.goodjobsfirst.org/parent/m-and-t-bank
M.A. Mortenson,92541,6,2820,privately held,,,,USA,Minnesota,construction,construction and engineering,https://violationtracker.goodjobsfirst.org/parent/ma-mortenson,
M.D.C. Holdings,1880030,26,1804,publicly traded,MDC,773141,US5526761086,USA,Colorado,homebuilding,construction and engineering,https://violationtracker.goodjobsfirst.org/parent/mdc-holdings,
Ma Labs,100265,4,2804,privately held,,,,USA,California,distributor of information technology equipment,wholesalers,https://violationtracker.goodjobsfirst.org/parent/ma-labs,
MacAndrews & Forbes,2568180,12,1688,privately held,,,,USA,New York,diversified,diversified,https://violationtracker.goodjobsfirst.org/parent/macandrews-and-forbes,https://subsidytracker.goodjobsfirst.org/parent/macandrews-and-forbes
Macerich,2200000,1,1746,publicly traded,MAC,912242,US5543821012,USA,California,real estate,real estate,https://violationtracker.goodjobsfirst.org/parent/macerich,https://subsidytracker.goodjobsfirst.org/parent/macerich
MACOM Technology Solutions,10001,1,3120,publicly traded,MTSI,1493594,US55405Y1001,USA,Massachusetts,semiconductors,electrical and electronic equipment,https://violationtracker.goodjobsfirst.org/parent/macom-technology-solutions,https://subsidytracker.goodjobsfirst.org/parent/macom-technology-solutions
Macquarie,414906140,81,202,publicly traded,MIC,1289790,AU000000MQG1,Australia,,financial services,financial services,https://violationtracker.goodjobsfirst.org/parent/macquarie,https://subsidytracker.goodjobsfirst.org/parent/macquarie
Macy's,28931420,81,778,publicly traded,M,794367,US55616P1049,USA,Ohio,retail-department stores,retailing,https://violationtracker.goodjobsfirst.org/parent/macys,https://subsidytracker.goodjobsfirst.org/parent/macys
Madison Industries,1382105,26,1922,privately held,,,,USA,Illinois,diversified,diversified,https://violationtracker.goodjobsfirst.org/parent/madison-industries,
Madison Square Garden Co.,2633608,4,1679,publicly traded,MSG,1636519,US55826T1025,USA,New York,entertainment,entertainment,https://violationtracker.goodjobsfirst.org/parent/madison-square-garden-co,
